year,all
2016,6.8
2017,5.8
1999,7.2
2000,6.1
2001,5.7
2002,6.7
2003,6.5
2004,5.8
2005,6.0
2006,5.1
2007,5.0
2008,4.9
2009,9.8
2010,10.5
2011,9.1
2012,8.7
2013,7.8
2014,7.8
2015,7.6
