year,all
2016,4.6
2017,4.1
1999,3.2
2000,3.8
2001,4.8
2002,5.8
2003,5.5
2004,5.2
2005,5.1
2006,4
2007,4.0
2008,4.3
2009,7.4
2010,8.1
2011,7.2
2012,5.8
2013,5.7
2014,4.5
2015,4.5
