year,all
2016,3.0
2017,3.6
1999,2.9
2000,2.5
2001,3.3
2002,3.4
2003,3.9
2004,3.5
2005,4.6
2006,2.9
2007,3.0
2008,3.1
2009,5.7
2010,6
2011,5
2012,4.8
2013,3.9
2014,3.3
2015,3.7
