year,all
2000,2.05
2001,2.98
2002,3.34
2003,3.74
2004,3.63
2005,3.75
2006,3.50
2007,3.16
2008,3.50
2009,4.34
2010,3.98
2011,4.37
2012,4.02
2013,4.86
2014,5.10
2015,5.09
