year,all
2016,5.4
2017,5.5
1999,4.4
2000,4
2001,5.4
2002,6.1
2003,6.5
2004,5.6
2005,5.9
2006,5.5
2007,5.6
2008,6.5
2009,11.1
2010,11.1
2011,10.5
2012,8.7
2013,8.7
2014,7.1
2015,6.1
