year,all
2016,2.9
2017,2.6
1999,6.8
2000,4.9
2001,4.9
2002,4.7
2003,4.6
2004,4.1
2005,2.9
2006,2.8
2007,2.7
2008,4.7
2009,8.4
2010,7.8
2011,8.7
2012,6.3
2013,5.5
2014,4.7
2015,4.3
