Year,GeoCode,Value
2000,,10.5
2001,,10.7
2002,,11.1
2003,,11.2
2004,,11.9
2005,,11.0
2006,,10.9
2007,,11.1
2008,,14.6
2009,,14.7
2010,,14.5
2011,,14.9
2012,,14.5
2013,,14.3
2014,,14.0
2015,,12.7
2016,,12.3
1999-2001,,0.0
2002-04,,0.0
2005-07,,0.0
2008-10,,0.0
2011-13,,0.0
2014-16,,0.0
2000,SD,0.0
2001,SD,0.0
2002,SD,0.0
2003,SD,0.0
2004,SD,0.0
2005,SD,0.0
2006,SD,0.0
2007,SD,0.0
2008,SD,0.0
2009,SD,0.0
2010,SD,0.0
2011,SD,0.0
2012,SD,0.0
2013,SD,0.0
2014,SD,0.0
2015,SD,0.0
2016,SD,0.0
1999-2001,SD,7.9
2002-04,SD,9.2
2005-07,SD,9.7
2008-10,SD,12.3
2011-13,SD,12.6
2014-16,SD,10.6
2000,IA,0.0
2001,IA,0.0
2002,IA,0.0
2003,IA,0.0
2004,IA,0.0
2005,IA,0.0
2006,IA,0.0
2007,IA,0.0
2008,IA,0.0
2009,IA,0.0
2010,IA,0.0
2011,IA,0.0
2012,IA,0.0
2013,IA,0.0
2014,IA,0.0
2015,IA,0.0
2016,IA,0.0
1999-2001,IA,7.6
2002-04,IA,10.2
2005-07,IA,11.7
2008-10,IA,12.1
2011-13,IA,11.9
2014-16,IA,10.7
2000,NH,0.0
2001,NH,0.0
2002,NH,0.0
2003,NH,0.0
2004,NH,0.0
2005,NH,0.0
2006,NH,0.0
2007,NH,0.0
2008,NH,0.0
2009,NH,0.0
2010,NH,0.0
2011,NH,0.0
2012,NH,0.0
2013,NH,0.0
2014,NH,0.0
2015,NH,0.0
2016,NH,0.0
1999-2001,NH,6.5
2002-04,NH,6.4
2005-07,NH,7.7
2008-10,NH,9.6
2011-13,NH,10.2
2014-16,NH,9.6
2000,OR,0.0
2001,OR,0.0
2002,OR,0.0
2003,OR,0.0
2004,OR,0.0
2005,OR,0.0
2006,OR,0.0
2007,OR,0.0
2008,OR,0.0
2009,OR,0.0
2010,OR,0.0
2011,OR,0.0
2012,OR,0.0
2013,OR,0.0
2014,OR,0.0
2015,OR,0.0
2016,OR,0.0
1999-2001,OR,13.7
2002-04,OR,11.9
2005-07,OR,12.4
2008-10,OR,13.7
2011-13,OR,15.2
2014-16,OR,14.6
2000,OH,0.0
2001,OH,0.0
2002,OH,0.0
2003,OH,0.0
2004,OH,0.0
2005,OH,0.0
2006,OH,0.0
2007,OH,0.0
2008,OH,0.0
2009,OH,0.0
2010,OH,0.0
2011,OH,0.0
2012,OH,0.0
2013,OH,0.0
2014,OH,0.0
2015,OH,0.0
2016,OH,0.0
1999-2001,OH,9.1
2002-04,OH,11.4
2005-07,OH,12.2
2008-10,OH,16.4
2011-13,OH,16.0
2014-16,OH,14.8
2000,PA,0.0
2001,PA,0.0
2002,PA,0.0
2003,PA,0.0
2004,PA,0.0
2005,PA,0.0
2006,PA,0.0
2007,PA,0.0
2008,PA,0.0
2009,PA,0.0
2010,PA,0.0
2011,PA,0.0
2012,PA,0.0
2013,PA,0.0
2014,PA,0.0
2015,PA,0.0
2016,PA,0.0
1999-2001,PA,8.4
2002-04,PA,10.2
2005-07,PA,10.0
2008-10,PA,12.5
2011-13,PA,11.9
2014-16,PA,12.5
2000,CO,0.0
2001,CO,0.0
2002,CO,0.0
2003,CO,0.0
2004,CO,0.0
2005,CO,0.0
2006,CO,0.0
2007,CO,0.0
2008,CO,0.0
2009,CO,0.0
2010,CO,0.0
2011,CO,0.0
2012,CO,0.0
2013,CO,0.0
2014,CO,0.0
2015,CO,0.0
2016,CO,0.0
1999-2001,CO,8.6
2002-04,CO,11.3
2005-07,CO,11.0
2008-10,CO,13.4
2011-13,CO,13.9
2014-16,CO,10.3
2000,WA,0.0
2001,WA,0.0
2002,WA,0.0
2003,WA,0.0
2004,WA,0.0
2005,WA,0.0
2006,WA,0.0
2007,WA,0.0
2008,WA,0.0
2009,WA,0.0
2010,WA,0.0
2011,WA,0.0
2012,WA,0.0
2013,WA,0.0
2014,WA,0.0
2015,WA,0.0
2016,WA,0.0
1999-2001,WA,12.5
2002-04,WA,12.0
2005-07,WA,10.1
2008-10,WA,14.7
2011-13,WA,14.3
2014-16,WA,11.6
2000,NV,0.0
2001,NV,0.0
2002,NV,0.0
2003,NV,0.0
2004,NV,0.0
2005,NV,0.0
2006,NV,0.0
2007,NV,0.0
2008,NV,0.0
2009,NV,0.0
