Year,GeoCode,Value
2000,,11.3
2001,,11.7
2002,,12.1
2003,,12.5
2004,,12.7
2005,,12.6
2006,,12.3
2007,,12.5
2008,,13.2
2009,,14.3
2010,,15.1
2011,,15.0
2012,,15.0
2013,,14.8
2014,,14.8
2015,,13.5
2016,,12.7
2017,,0.0
2000,SC,0.0
2001,SC,0.0
2002,SC,0.0
2003,SC,0.0
2004,SC,0.0
2005,SC,15.57
2006,SC,15.69
2007,SC,15.03
2008,SC,15.66
2009,SC,17.07
2010,SC,18.15
2011,SC,18.88
2012,SC,18.27
2013,SC,18.58
2014,SC,17.99
2015,SC,16.65
2016,SC,15.27
2017,SC,0.0
2000,AZ,0.0
2001,AZ,0.0
2002,AZ,0.0
2003,AZ,0.0
2004,AZ,0.0
2005,AZ,14.2
2006,AZ,14.17
2007,AZ,14.16
2008,AZ,14.72
2009,AZ,16.52
2010,AZ,17.44
2011,AZ,18.99
2012,AZ,18.66
2013,AZ,18.63
2014,AZ,18.24
2015,AZ,17.37
2016,AZ,16.36
2017,AZ,0.0
2000,RI,0.0
2001,RI,0.0
2002,RI,0.0
2003,RI,0.0
2004,RI,0.0
2005,RI,12.26
2006,RI,11.12
2007,RI,11.99
2008,RI,11.7
2009,RI,11.46
2010,RI,14.05
2011,RI,14.74
2012,RI,13.75
2013,RI,14.29
2014,RI,14.34
2015,RI,13.88
2016,RI,12.79
2017,RI,0.0
2000,CT,0.0
2001,CT,0.0
2002,CT,0.0
2003,CT,0.0
2004,CT,0.0
2005,CT,8.32
2006,CT,8.25
2007,CT,7.94
2008,CT,9.28
2009,CT,9.4
2010,CT,10.1
2011,CT,10.88
2012,CT,10.69
2013,CT,10.73
2014,CT,10.75
2015,CT,10.54
2016,CT,9.77
2017,CT,0.0
2000,WA,0.0
2001,WA,0.0
2002,WA,0.0
2003,WA,0.0
2004,WA,0.0
2005,WA,11.92
2006,WA,11.77
2007,WA,11.44
2008,WA,11.35
2009,WA,12.31
2010,WA,13.43
2011,WA,13.9
2012,WA,13.54
2013,WA,14.15
2014,WA,13.19
2015,WA,12.19
2016,WA,11.26
2017,WA,0.0
2000,OR,0.0
2001,OR,0.0
2002,OR,0.0
2003,OR,0.0
2004,OR,0.0
2005,OR,14.1
2006,OR,13.25
2007,OR,12.92
2008,OR,13.62
2009,OR,14.26
2010,OR,15.84
2011,OR,17.46
2012,OR,17.21
2013,OR,16.67
2014,OR,16.55
2015,OR,15.36
2016,OR,13.35
2017,OR,0.0
2000,MO,0.0
2001,MO,0.0
2002,MO,0.0
2003,MO,0.0
2004,MO,0.0
2005,MO,13.34
2006,MO,13.56
2007,MO,13.01
2008,MO,13.38
2009,MO,14.59
2010,MO,15.27
2011,MO,15.78
2012,MO,16.23
2013,MO,15.89
2014,MO,15.46
2015,MO,14.83
2016,MO,13.99
2017,MO,0.0
2000,IN,0.0
2001,IN,0.0
2002,IN,0.0
2003,IN,0.0
2004,IN,0.0
2005,IN,12.22
2006,IN,12.7
2007,IN,12.33
2008,IN,13.08
2009,IN,14.4
2010,IN,15.3
2011,IN,16.0
2012,IN,15.61
2013,IN,15.94
2014,IN,15.24
2015,IN,14.54
2016,IN,14.09
2017,IN,0.0
2000,OH,0.0
2001,OH,0.0
2002,OH,0.0
2003,OH,0.0
2004,OH,0.0
2005,OH,13.05
