Year,GeoCode,Value
2000,,3.0
2001,,0.0
2002,,0.8
2003,,1.9
2004,,2.9
2005,,2.4
2006,,1.7
2007,,0.8
2008,,-1.2
2009,,-3.6
2010,,1.7
2011,,0.8
2012,,1.5
2013,,1.0
2014,,1.8
2015,,2.1
2016,,0.8
1998,,0.0
1999,,0.0
2000,KS,1.8
2001,KS,-0.4
2002,KS,1.1
2003,KS,1.9
2004,KS,-0.5
2005,KS,2.4
2006,KS,4.4
2007,KS,3.9
2008,KS,1.6
2009,KS,-5.0
2010,KS,1.1
2011,KS,2.8
2012,KS,0.1
2013,KS,-0.1
2014,KS,1.8
2015,KS,0.8
2016,KS,-0.9
1998,KS,2.6
1999,KS,1.9
2000,CA,5.9
2001,CA,-2.1
2002,CA,1.4
2003,CA,3.4
2004,CA,4.1
2005,CA,3.5
2006,CA,2.9
2007,CA,0.6
2008,CA,-1.3
2009,CA,-5.0
2010,CA,0.3
2011,CA,0.4
2012,CA,1.7
2013,CA,1.7
2014,CA,3.2
2015,CA,3.6
2016,CA,2.6
1998,CA,4.2
1999,CA,5.7
2000,NH,5.4
2001,NH,0.2
2002,NH,1.7
2003,NH,2.9
2004,NH,1.8
2005,NH,1.9
2006,NH,1.0
2007,NH,-0.5
2008,NH,-1.6
2009,NH,-1.2
2010,NH,2.4
2011,NH,0.2
2012,NH,0.3
2013,NH,0.5
2014,NH,1.4
2015,NH,2.5
2016,NH,1.2
1998,NH,5.0
1999,NH,1.6
2000,MN,5.1
2001,MN,-0.8
2002,MN,1.6
2003,MN,3.8
2004,MN,3.0
2005,MN,1.9
2006,MN,-1.2
2007,MN,-0.5
2008,MN,-0.2
2009,MN,-4.6
2010,MN,2.6
2011,MN,1.4
2012,MN,0.8
2013,MN,1.4
2014,MN,2.1
2015,MN,1.0
2016,MN,1.5
1998,MN,3.7
1999,MN,2.4
2000,VT,4.4
2001,VT,2.7
2002,VT,2.5
2003,VT,3.5
2004,VT,3.2
2005,VT,1.0
2006,VT,0.4
2007,VT,-0.7
2008,VT,0.7
2009,VT,-2.2
2010,VT,3.2
2011,VT,2.3
2012,VT,-0.2
2013,VT,-0.3
2014,VT,0.5
2015,VT,1.0
2016,VT,0.9
1998,VT,2.4
1999,VT,4.7
2000,GA,1.7
2001,GA,-0.6
2002,GA,-0.9
2003,GA,1.5
2004,GA,2.5
2005,GA,2.2
2006,GA,-1.3
2007,GA,-1.4
2008,GA,-4.6
2009,GA,-4.9
2010,GA,-0.1
2011,GA,0.3
2012,GA,0.1
2013,GA,0.7
2014,GA,2.3
2015,GA,1.9
2016,GA,1.9
1998,GA,4.6
1999,GA,4.5
2000,TX,1.4
2001,TX,0.8
2002,TX,-0.3
2003,TX,-0.7
2004,TX,3.1
2005,TX,0.6
2006,TX,3.5
2007,TX,2.9
2008,TX,-1.4
2009,TX,-2.6
2010,TX,0.8
2011,TX,2.0
2012,TX,4.0
2013,TX,3.5
2014,TX,1.6
2015,TX,2.4
2016,TX,-1.9
1998,TX,4.0
1999,TX,1.9
2000,AL,0.5
2001,AL,0.1
2002,AL,2.3
2003,AL,2.3
2004,AL,5.3
2005,AL,2.4
2006,AL,0.4
2007,AL,-0.6
2008,AL,-1.5
2009,AL,-4.3
2010,AL,1.5
2011,AL,0.8
2012,AL,0.6
2013,AL,0.6
2014,AL,-0.6
2015,AL,1.3
2016,AL,1.3
1998,AL,2.4
1999,AL,2.9
2000,MA,7.4
2001,MA,0.7
2002,MA,0.2
2003,MA,2.1
2004,MA,2.3
2005,MA,1.9
2006,MA,1.6
2007,MA,2.1
2008,MA,-0.4
2009,MA,-2.5
2010,MA,2.8
2011,MA,1.6
2012,MA,1.1
2013,MA,-0.9
2014,MA,1.1
2015,MA,3.2
2016,MA,1.1
1998,MA,3.3
1999,MA,4.6
2000,AZ,2.3
2001,AZ,0.0
2002,AZ,0.4
2003,AZ,3.7
2004,AZ,0.7
2005,AZ,4.8
2006,AZ,2.5
2007,AZ,0.2
2008,AZ,-5.4
2009,AZ,-8.5
2010,AZ,-0.8
2011,AZ,0.8
2012,AZ,0.8
2013,AZ,-0.7
2014,AZ,0.4
2015,AZ,0.5
2016,AZ,0.9
1998,AZ,5.5
1999,AZ,5.5
2000,NM,1.0
2001,NM,0.4
2002,NM,1.3
2003,NM,3.0
2004,NM,5.0
2005,NM,-0.9
