Year,GeoCode,Value
2000,,0.0
2001,,0.0
2002,,0.0
2003,,0.0
2004,,0.0
2005,,0.0
2006,,0.0
2007,,0.0
2008,,19.2
2009,,18.1
2010,,17.1
2011,,16.2
2012,,15.7
2013,,15.0
2014,,15.0
2015,,14.7
2016,,0.0
2017,,0.0
2000,TX,0.0
2001,TX,0.0
2002,TX,0.0
2003,TX,0.0
2004,TX,0.0
2005,TX,0.0
2006,TX,0.0
2007,TX,0.0
2008,TX,21.6
2009,TX,22.1
2010,TX,22.0
2011,TX,20.8
2012,TX,20.6
2013,TX,20.3
2014,TX,20.3
2015,TX,20.2
2016,TX,19.8
2017,TX,0.0
2000,WV,0.0
2001,WV,0.0
2002,WV,0.0
2003,WV,0.0
2004,WV,0.0
2005,WV,0.0
2006,WV,0.0
2007,WV,0.0
2008,WV,5.4
2009,WV,5.3
2010,WV,4.9
2011,WV,5.7
2012,WV,5.1
2013,WV,4.7
2014,WV,5.6
2015,WV,4.6
2016,WV,4.2
2017,WV,0.0
2000,OR,0.0
2001,OR,0.0
2002,OR,0.0
2003,OR,0.0
2004,OR,0.0
2005,OR,0.0
2006,OR,0.0
2007,OR,0.0
2008,OR,9.1
2009,OR,7.9
2010,OR,7.5
2011,OR,7.4
2012,OR,8.2
2013,OR,6.9
2014,OR,7.1
2015,OR,6.4
2016,OR,6.4
2017,OR,0.0
2000,IL,0.0
2001,IL,0.0
2002,IL,0.0
2003,IL,0.0
2004,IL,0.0
2005,IL,0.0
2006,IL,0.0
2007,IL,0.0
2008,IL,17.7
2009,IL,16.9
2010,IL,15.9
2011,IL,15.4
2012,IL,15.7
2013,IL,15.0
2014,IL,14.2
2015,IL,14.2
2016,IL,12.9
2017,IL,0.0
2000,IN,0.0
2001,IN,0.0
2002,IN,0.0
2003,IN,0.0
2004,IN,0.0
2005,IN,0.0
2006,IN,0.0
2007,IN,0.0
2008,IN,8.8
2009,IN,8.8
2010,IN,9.1
2011,IN,8.7
2012,IN,9.2
2013,IN,8.7
2014,IN,8.4
2015,IN,11.5
2016,IN,8.8
2017,IN,0.0
2000,IA,0.0
2001,IA,0.0
2002,IA,0.0
2003,IA,0.0
2004,IA,0.0
2005,IA,0.0
2006,IA,0.0
2007,IA,0.0
2008,IA,3.9
2009,IA,4.8
2010,IA,4.5
2011,IA,4.5
2012,IA,4.5
2013,IA,4.7
2014,IA,3.6
2015,IA,4.8
2016,IA,5.1
2017,IA,0.0
2000,SD,0.0
2001,SD,0.0
2002,SD,0.0
2003,SD,0.0
2004,SD,0.0
2005,SD,0.0
2006,SD,0.0
2007,SD,0.0
2008,SD,4.4
2009,SD,3.3
2010,SD,4.8
2011,SD,3.1
2012,SD,3.5
2013,SD,4.6
2014,SD,4.0
2015,SD,3.3
2016,SD,5.5
2017,SD,0.0
2000,NV,0.0
2001,NV,0.0
2002,NV,0.0
2003,NV,0.0
2004,NV,0.0
2005,NV,0.0
2006,NV,0.0
2007,NV,0.0
2008,NV,18.6
2009,NV,17.2
2010,NV,17.0
2011,NV,17.1
2012,NV,15.9
2013,NV,18.8
2014,NV,18.6
2015,NV,20.0
2016,NV,21.4
2017,NV,0.0
2000,OK,0.0
2001,OK,0.0
2002,OK,0.0
2003,OK,0.0
2004,OK,0.0
