Year,GeoCode,Value
2000,,6.18
2001,,5.37
2002,,5.86
2003,,6.07
2004,,6.07
2005,,6.22
2006,,6.67
2007,,6.46
2008,,7.25
2009,,8.08
2010,,8.24
2011,,9.29
2012,,9.22
2013,,9.55
2014,,9.73
2015,,9.73
2016,,10.43
2000,SC,5.79
2001,SC,4.56
2002,SC,5.08
2003,SC,6.52
2004,SC,5.75
2005,SC,6.32
2006,SC,5.98
2007,SC,5.84
2008,SC,6.51
2009,SC,7.73
2010,SC,7.64
2011,SC,7.95
2012,SC,8.42
2013,SC,9.1
2014,SC,9.05
2015,SC,8.59
2016,SC,0.0
2000,AZ,7.8
2001,AZ,7.0
2002,AZ,6.69
2003,AZ,6.31
2004,AZ,5.95
2005,AZ,6.46
2006,AZ,6.48
2007,AZ,6.48
2008,AZ,7.59
2009,AZ,6.92
2010,AZ,7.24
2011,AZ,9.0
2012,AZ,8.22
2013,AZ,8.44
2014,AZ,9.73
2015,AZ,10.24
2016,AZ,0.0
2000,RI,2.23
2001,RI,1.93
2002,RI,1.86
2003,RI,1.77
2004,RI,2.12
2005,RI,0.92
2006,RI,2.72
2007,RI,3.21
2008,RI,3.23
2009,RI,3.79
2010,RI,3.5
2011,RI,3.55
2012,RI,3.19
2013,RI,2.88
2014,RI,3.68
2015,RI,3.63
2016,RI,0.0
2000,CT,5.89
2001,CT,3.6
2002,CT,3.5
2003,CT,3.68
2004,CT,4.73
2005,CT,3.37
2006,CT,4.39
2007,CT,4.28
2008,CT,4.69
2009,CT,5.42
2010,CT,5.32
2011,CT,5.51
2012,CT,5.12
2013,CT,5.27
2014,CT,5.67
2015,CT,5.42
2016,CT,0.0
2000,WA,41.22
2001,WA,33.18
2002,WA,48.38
2003,WA,44.9
2004,WA,42.69
2005,WA,41.81
2006,WA,45.54
2007,WA,43.58
2008,WA,43.91
2009,WA,41.95
2010,WA,40.81
2011,WA,51.91
2012,WA,50.49
2013,WA,45.81
2014,WA,47.12
2015,WA,43.92
2016,WA,0.0
2000,OR,39.19
2001,OR,34.19
2002,OR,39.42
2003,OR,38.6
2004,OR,38.7
2005,OR,35.51
2006,OR,40.81
2007,OR,37.77
2008,OR,39.92
2009,OR,41.66
2010,OR,40.89
2011,OR,51.73
2012,OR,51.41
2013,OR,46.75
2014,OR,49.16
2015,OR,45.37
2016,OR,0.0
2000,MO,1.3
2001,MO,1.81
2002,MO,2.05
2003,MO,1.87
2004,MO,2.36
2005,MO,2.79
2006,MO,2.2
2007,MO,3.06
2008,MO,4.26
2009,MO,4.93
2010,MO,4.9
2011,MO,4.82
2012,MO,4.59
2013,MO,5.11
2014,MO,4.96
2015,MO,5.25
2016,MO,0.0
2000,IN,1.7
2001,IN,1.92
2002,IN,1.93
2003,IN,1.96
2004,IN,1.98
2005,IN,2.15
2006,IN,1.88
2007,IN,2.23
2008,IN,3.35
2009,IN,4.32
2010,IN,4.76
2011,IN,5.13
2012,IN,5.16
2013,IN,5.19
2014,IN,5.3
2015,IN,5.87
2016,IN,0.0
2000,OH,2.35
2001,OH,1.73
2002,OH,1.41
2003,OH,1.6
2004,OH,1.67
2005,OH,1.82
2006,OH,1.96
2007,OH,2.03
2008,OH,2.86
2009,OH,3.07
2010,OH,3.1
2011,OH,3.3
2012,OH,3.65
2013,OH,3.96
2014,OH,3.95
2015,OH,3.78
2016,OH,0.0
2000,SD,24.48
2001,SD,16.32
2002,SD,19.28
2003,SD,20.78
2004,SD,21.17
2005,SD,20.32
2006,SD,23.21
2007,SD,20.93
2008,SD,23.12
2009,SD,29.13
2010,SD,34.39
2011,SD,40.84
2012,SD,37.78
2013,SD,32.75
2014,SD,35.32
2015,SD,34.56
2016,SD,0.0
2000,DC,0.7
2001,DC,0.46
2002,DC,0.46
2003,DC,0.49
2004,DC,0.48
2005,DC,0.13
2006,DC,0.34
2007,DC,0.38
2008,DC,0.3
2009,DC,0.31
2010,DC,0.58
2011,DC,0.7
2012,DC,0.62
2013,DC,0.65
2014,DC,0.71
2015,DC,1.01
2016,DC,0.0
2000,AL,12.47
2001,AL,13.18
2002,AL,12.81
2003,AL,14.45
2004,AL,14.07
2005,AL,13.55
2006,AL,12.67
2007,AL,10.96
2008,AL,11.83
2009,AL,15.19
2010,AL,13.16
2011,AL,13.97
2012,AL,13.45
2013,AL,16.56
2014,AL,14.16
2015,AL,14.18
2016,AL,0.0
2000,FL,4.82
2001,FL,3.92
2002,FL,4.2
2003,FL,4.53
2004,FL,4.16
2005,FL,4.28
2006,FL,4.33
2007,FL,4.52
2008,FL,5.67
2009,FL,6.62
2010,FL,6.62
2011,FL,6.87
2012,FL,7.07
2013,FL,7.27
2014,FL,7.13
2015,FL,7.09
2016,FL,0.0
2000,NC,5.39
2001,NC,5.2
2002,NC,5.11
2003,NC,7.33
2004,NC,5.57
2005,NC,5.5
2006,NC,5.33
2007,NC,4.36
2008,NC,6.18
2009,NC,7.02
2010,NC,6.78
2011,NC,7.05
2012,NC,7.28
2013,NC,8.67
2014,NC,7.83
2015,NC,8.02
2016,NC,0.0
2000,TX,0.81
2001,TX,0.83
2002,TX,0.98
2003,TX,0.95
2004,TX,0.99
2005,TX,1.17
2006,TX,1.59
2007,TX,2.07
2008,TX,3.07
2009,TX,3.18
2010,TX,3.86
2011,TX,4.3
2012,TX,4.34
2013,TX,4.35
2014,TX,4.76
2015,TX,5.05
2016,TX,0.0
2000,GA,7.61
2001,GA,6.81
2002,GA,9.67
2003,GA,7.5
2004,GA,7.33
2005,GA,7.02
2006,GA,6.82
2007,GA,6.67
2008,GA,6.72
2009,GA,7.56
2010,GA,7.67
2011,GA,7.97
2012,GA,8.31
2013,GA,9.73
2014,GA,10.01
2015,GA,10.39
2016,GA,0.0
2000,AR,9.48
2001,AR,8.54
2002,AR,9.67
2003,AR,9.77
2004,AR,10.31
2005,AR,10.06
2006,AR,8.98
2007,AR,10.72
2008,AR,11.32
2009,AR,12.49
2010,AR,11.73
2011,AR,11.29
2012,AR,11.06
2013,AR,11.07
2014,AR,10.98
2015,AR,11.53
2016,AR,0.0
2000,ME,33.25
2001,ME,32.83
2002,ME,31.45
2003,ME,29.4
2004,ME,29.6
2005,ME,34.88
2006,ME,33.91
2007,ME,34.72
2008,ME,40.98
2009,ME,37.12
2010,ME,37.77
2011,ME,38.58
2012,ME,39.38
2013,ME,39.35
2014,ME,38.39
2015,ME,36.48
2016,ME,0.0
