year,all
2016,6.6
2017,5.9
1999,4.5
2000,5.4
2001,6.5
2002,6.7
2003,7.0
2004,6.3
2005,6.3
2006,4.4
2007,4.1
2008,5.4
2009,7.9
2010,7.7
2011,7.1
2012,7.1
2013,7.3
2014,6.5
2015,6.4
