year,all
2016,3.7
2017,3.0
1999,3.6
2000,3
2001,3.9
2002,5.8
2003,5.8
2004,5.2
2005,3.8
2006,2.8
2007,2.4
2008,4.1
2009,8.3
2010,9.5
2011,7.4
2012,6.1
2013,4.4
2014,4
2015,3.1
