Year,freight-mode,passenger-mode,Units,Value
2000,,highway,passenger-kilometers,7323440.0
2001,,highway,passenger-kilometers,7385358.0
2002,,highway,passenger-kilometers,7547724.0
2003,,highway,passenger-kilometers,7629479.0
2004,,highway,passenger-kilometers,7833881.0
2005,,highway,passenger-kilometers,7887734.0
2006,,highway,passenger-kilometers,7974402.0
2007,,highway,passenger-kilometers,8016285.0
2008,,highway,passenger-kilometers,7886060.0
2009,,highway,passenger-kilometers,6825785.0
2010,,highway,passenger-kilometers,6831397.0
2011,,highway,passenger-kilometers,6808265.0
2012,,highway,passenger-kilometers,6879748.0
2013,,highway,passenger-kilometers,6930887.0
2014,,highway,passenger-kilometers,7035580.0
2015,,highway,passenger-kilometers,7199137.0
2000,,air,passenger-kilometers,829775.0
2001,,air,passenger-kilometers,782956.0
2002,,air,passenger-kilometers,778157.0
2003,,air,passenger-kilometers,813687.0
2004,,air,passenger-kilometers,898327.0
2005,,air,passenger-kilometers,939489.0
2006,,air,passenger-kilometers,947052.0
2007,,air,passenger-kilometers,977779.0
2008,,air,passenger-kilometers,938717.0
2009,,air,passenger-kilometers,887941.0
2010,,air,passenger-kilometers,908788.0
2011,,air,passenger-kilometers,926359.0
2012,,air,passenger-kilometers,934226.0
2013,,air,passenger-kilometers,949018.0
2014,,air,passenger-kilometers,978114.0
2015,,air,passenger-kilometers,1033047.0
2000,,transit,passenger-kilometers,72582.0
2001,,transit,passenger-kilometers,74847.0
2002,,transit,passenger-kilometers,74184.0
2003,,transit,passenger-kilometers,73510.0
2004,,transit,passenger-kilometers,74908.0
2005,,transit,passenger-kilometers,75840.0
2006,,transit,passenger-kilometers,79669.0
2007,,transit,passenger-kilometers,83482.0
2008,,transit,passenger-kilometers,86441.0
2009,,transit,passenger-kilometers,86741.0
2010,,transit,passenger-kilometers,84695.0
2011,,transit,passenger-kilometers,87433.0
2012,,transit,passenger-kilometers,88786.0
2013,,transit,passenger-kilometers,90875.0
2014,,transit,passenger-kilometers,91752.0
2000,,rail,passenger-kilometers,8848.0
2001,,rail,passenger-kilometers,8946.0
2002,,rail,passenger-kilometers,8800.0
2003,,rail,passenger-kilometers,9141.0
2004,,rail,passenger-kilometers,8869.0
2005,,rail,passenger-kilometers,8660.0
2006,,rail,passenger-kilometers,8706.0
2007,,rail,passenger-kilometers,9309.0
2008,,rail,passenger-kilometers,9943.0
2009,,rail,passenger-kilometers,9518.0
2010,,rail,passenger-kilometers,10332.0
2011,,rail,passenger-kilometers,10570.0
2012,,rail,passenger-kilometers,10948.0
2013,,rail,passenger-kilometers,10959.0
2014,,rail,passenger-kilometers,10742.0
2015,,rail,passenger-kilometers,10519.0
2016,,rail,passenger-kilometers,10494.0
2002,truck,,freight-tonnage,10021.32
2007,truck,,freight-tonnage,10966.12
2012,truck,,freight-tonnage,9760.5
2013,truck,,freight-tonnage,9917.63
2014,truck,,freight-tonnage,10212.12
2015,truck,,freight-tonnage,10319.7
2016,truck,,freight-tonnage,10470.91
2017,truck,,freight-tonnage,10451.06
2002,pipeline,,freight-tonnage,2329.03
2007,pipeline,,freight-tonnage,2499.75
2012,pipeline,,freight-tonnage,2749.46
2013,pipeline,,freight-tonnage,2574.13
2014,pipeline,,freight-tonnage,2676.41
2015,pipeline,,freight-tonnage,2707.59
2016,pipeline,,freight-tonnage,2702.46
2017,pipeline,,freight-tonnage,2766.78
2002,rail,,freight-tonnage,1843.13
2007,rail,,freight-tonnage,1857.3
2012,rail,,freight-tonnage,1629.88
2013,rail,,freight-tonnage,1670.57
2014,rail,,freight-tonnage,1715.49
2015,rail,,freight-tonnage,1630.53
2016,rail,,freight-tonnage,1541.63
2017,rail,,freight-tonnage,1577.0
2002,vessel,,freight-tonnage,615.91
2007,vessel,,freight-tonnage,588.32
2012,vessel,,freight-tonnage,593.02
2013,vessel,,freight-tonnage,615.18
2014,vessel,,freight-tonnage,648.77
2015,vessel,,freight-tonnage,654.63
2002,air,,freight-tonnage,4.28
2007,air,,freight-tonnage,4.59
2012,air,,freight-tonnage,5.96
2013,air,,freight-tonnage,5.94
2014,air,,freight-tonnage,6.18
2015,air,,freight-tonnage,6.36
