Year,grade,sex,subject,Value
2001,4th,,reading,59
2003,4th,,reading,63
2005,4th,,reading,64
2007,4th,,reading,67
2009,4th,,reading,67
2011,4th,,reading,67
2013,4th,,reading,68
2015,4th,,reading,69
2017,4th,,reading,68
2001,4th,male,reading,55
2003,4th,male,reading,60
2005,4th,male,reading,61
2007,4th,male,reading,64
2009,4th,male,reading,64
2011,4th,male,reading,64
2013,4th,male,reading,65
2015,4th,male,reading,66
2017,4th,male,reading,65
2001,4th,female,reading,64
2003,4th,female,reading,67
2005,4th,female,reading,67
2007,4th,female,reading,70
2009,4th,female,reading,70
2011,4th,female,reading,71
2013,4th,female,reading,72
2015,4th,female,reading,72
2017,4th,female,reading,71
2003,8th,,reading,74
2005,8th,,reading,73
2007,8th,,reading,74
2009,8th,,reading,75
2011,8th,,reading,76
2013,8th,,reading,78
2015,8th,,reading,76
2017,8th,,reading,76
2003,8th,male,reading,69
2005,8th,male,reading,68
2007,8th,male,reading,69
2009,8th,male,reading,71
2011,8th,male,reading,72
2013,8th,male,reading,74
2015,8th,male,reading,72
2017,8th,male,reading,72
2003,8th,female,reading,79
2005,8th,female,reading,78
2007,8th,female,reading,79
2009,8th,female,reading,79
2011,8th,female,reading,80
2013,8th,female,reading,82
2015,8th,female,reading,80
2017,8th,female,reading,81
2000,4th,,math,65
2003,4th,,math,77
2005,4th,,math,80
2007,4th,,math,82
2009,4th,,math,82
2011,4th,,math,82
2013,4th,,math,83
2015,4th,,math,82
2017,4th,,math,80
2000,4th,male,math,67
2003,4th,male,math,78
2005,4th,male,math,81
2007,4th,male,math,82
2009,4th,male,math,82
2011,4th,male,math,83
2013,4th,male,math,82
2015,4th,male,math,82
2017,4th,male,math,80
2000,4th,female,math,64
2003,4th,female,math,76
2005,4th,female,math,80
2007,4th,female,math,82
2009,4th,female,math,82
2011,4th,female,math,82
2013,4th,female,math,83
2015,4th,female,math,82
2017,4th,female,math,80
2000,8th,,math,63
2003,8th,,math,68
2005,8th,,math,69
2007,8th,,math,71
2009,8th,,math,73
2011,8th,,math,73
2013,8th,,math,74
2015,8th,,math,71
2017,8th,,math,70
2000,8th,male,math,64
2003,8th,male,math,69
2005,8th,male,math,70
2007,8th,male,math,72
2009,8th,male,math,73
2011,8th,male,math,73
2013,8th,male,math,74
2015,8th,male,math,71
2017,8th,male,math,70
2000,8th,female,math,63
2003,8th,female,math,67
2005,8th,female,math,69
2007,8th,female,math,71
2009,8th,female,math,72
2011,8th,female,math,73
2013,8th,female,math,74
2015,8th,female,math,72
2017,8th,female,math,70
