year,all
1998,2.9
1999,3.0
2000,2.5
2001,2.6
2002,2.0
2003,1.6
2004,4.3
2005,2.8
2006,1.4
2007,-0.1
2008,0.4
2009,-0.7
2010,2.2
2011,1.0
2012,-0.4
2013,-0.5
2014,0.6
2015,1.5
2016,2.1
