year,all
2016,7.2
2017,9.1
1999,7.0
2000,7.2
2001,6.8
2002,8.7
2003,9.3
2004,7.9
2005,7.6
2006,8
2007,7.0
2008,7.1
2009,9
2010,9
2011,8.8
2012,8.6
2013,7.7
2014,8.1
2015,7.7
