year,all
2016,5.4
2017,5.2
1999,3.5
2000,2
2001,3.2
2002,4.7
2003,6.1
2004,5.1
2005,4.9
2006,4.4
2007,4.6
2008,6.0
2009,8.5
2010,9.9
2011,8.9
2012,9.1
2013,8.1
2014,7
2015,5.7
