year,all
2016,6.2
2017,6.3
1999,5.5
2000,5.8
2001,6.5
2002,6.6
2003,7.2
2004,9.0
2005,5.7
2006,5.4
2007,5.0
2008,6.2
2009,9.8
2010,9.7
2011,10.1
2012,8.6
2013,8.7
2014,7.3
2015,6.3
