year,all
2000,0.75
2001,0.45
2002,0.43
2003,0.46
2004,0.50
2005,0.62
2006,1.25
2007,1.69
2008,1.98
2009,2.55
2010,2.98
2011,2.79
2012,2.57
2013,2.72
2014,2.89
2015,2.82
