year,all
2016,4.2
2017,4.8
1999,4.1
2000,4
2001,3.7
2002,4.4
2003,4.2
2004,3.9
2005,4.0
2006,3.8
2007,3.5
2008,5.5
2009,10.1
2010,9.7
2011,7.9
2012,7.8
2013,6.9
2014,5.5
2015,4.7
