year,all
2016,4.6
2017,4.3
1999,5.3
2000,5.2
2001,5
2002,5.4
2003,5.1
2004,5.6
2005,4.6
2006,3.7
2007,3.8
2008,5.5
2009,8.5
2010,9.3
2011,8.7
2012,7.2
2013,6.2
2014,5.4
2015,4.9
