year,all
2000,7.80
2001,7.00
2002,6.69
2003,6.31
2004,5.95
2005,6.46
2006,6.48
2007,6.48
2008,7.59
2009,6.92
2010,7.24
2011,9.00
2012,8.22
2013,8.44
2014,9.73
2015,10.24
