year,all
2000,39.19
2001,34.19
2002,39.42
2003,38.60
2004,38.70
2005,35.51
2006,40.81
2007,37.77
2008,39.92
2009,41.66
2010,40.89
2011,51.73
2012,51.41
2013,46.75
2014,49.16
2015,45.37
