year,all
2000,12.47
2001,9.85
2002,9.14
2003,9.17
2004,10.52
2005,13.07
2006,11.75
2007,12.41
2008,14.44
2009,16.72
2010,16.56
2011,17.11
2012,17.35
2013,19.03
2014,19.58
2015,19.26
