year,all
2000,3.51
2001,3.34
2002,2.80
2003,2.52
2004,3.11
2005,4.23
2006,4.06
2007,3.61
2008,4.16
2009,6.67
2010,8.44
2011,11.02
2012,9.98
2013,10.10
2014,10.34
2015,9.25
