year,all
2016,5.4
2017,4.1
1999,3.2
2000,3.2
2001,4
2002,4.9
2003,5.8
2004,4.5
2005,4.1
2006,4.4
2007,4.3
2008,3.9
2009,7.2
2010,7.7
2011,6
2012,4.9
2013,5.6
2014,4.8
2015,4.6
