Year,Value
2000,0.0
2001,2.0573200000000003
2002,0.0
2003,1.94087
2004,0.0
2005,1.88559
2006,0.0
2007,1.75856
2008,0.0
2009,1.8266799999999999
2010,0.0
2011,2.0020700000000002
2012,0.0
2013,1.85935
2014,0.0
2015,1.25475
2016,0.0
2017,0.0
