year,all
2016,4.3
2017,3.5
1999,2.8
2000,2.4
2001,3.4
2002,4.2
2003,4.8
2004,4.4
2005,4.7
2006,3.5
2007,3.6
2008,4.3
2009,7.2
2010,6.6
2011,6.1
2012,5.5
2013,5
2014,5.3
2015,3.7
