year,all
2000,4.82
2001,3.92
2002,4.20
2003,4.53
2004,4.16
2005,4.28
2006,4.33
2007,4.52
2008,5.67
2009,6.62
2010,6.62
2011,6.87
2012,7.07
2013,7.27
2014,7.13
2015,7.09
