year,all
2016,5.0
2017,3.7
1999,3.5
2000,3.3
2001,4.5
2002,5.2
2003,4.9
2004,4.5
2005,3.3
2006,3.2
2007,4.3
2008,6.6
2009,11.5
2010,12.3
2011,10.7
2012,8.9
2013,7.5
2014,6.2
2015,5.5
