year,pass_vol_highway,pass_vol_air,pass_vol_transit,pass_vol_rail,freight_vol_truck,freight_vol_pipeline,freight_vol_rail,freight_vol_vessel,freight_vol_air
2000,7323440,829775,72582,8848,,,,,
2001,7385358,782956,74847,8946,,,,,
2002,7547724,778157,74184,8800,9685.32,2329.03,1843.13,615.98,4.28
2003,7629479,813687,73510,9141,,,,,
2004,7833881,898327,74908,8869,,,,,
2005,7887734,939489,75840,8660,,,,,
2006,7974402,947052,79669,8706,,,,,
2007,8016285,977779,83482,9307,10966.12,2499.75,1857.30,585.53,4.60
2008,7886060,938717,86441,9943,,,,,
2009,8083318,887941,86741,9518,,,,,
2010,8097214,908788,84695,10332,,,,,
2011,8076677,926359,87433,10570,,,,,
2012,NA,934226,88786,10950,9760.50,2749.46,1629.88,596.96,6.72
2013,8216327,949018,90875,10959,9917.63,2574.13,1670.57,656.99,4.72
2014,8337386,978114,91752,10742,10212.12,2676.41,1715.49,678.77,4.95
2015,8535672,1033047,90298,10519,10319.70,2707.59,1630.53,668.57,4.83
2016,8743981,1078964,91204,10492,10470.91,2702.46,1541.63,667.62,4.82
2017,8855282,1116592,88772,10505,10451.06,2766.78,1577.00,695.20,5.33
