year,all
2000,2.23
2001,1.93
2002,1.86
2003,1.77
2004,2.12
2005,0.92
2006,2.72
2007,3.21
2008,3.23
2009,3.79
2010,3.50
2011,3.55
2012,3.19
2013,2.88
2014,3.68
2015,3.63
