year,all
2000,6.17
2001,6.94
2002,5.86
2003,6.34
2004,5.75
2005,7.34
2006,7.46
2007,7.41
2008,8.40
2009,8.66
2010,9.49
2011,9.53
2012,9.50
2013,9.32
2014,9.47
2015,9.42
