year,all
2016,4.4
2017,3.8
1999,2.8
2000,3.1
2001,4.6
2002,5.5
2003,5.7
2004,5.2
2005,5.5
2006,4.5
2007,5.0
2008,6.5
2009,11.8
2010,11.4
2011,8.7
2012,8.1
2013,7.4
2014,6.3
2015,4.8
