year,all
2016,5.9
2017,5.0
1999,4.2
2000,4.5
2001,5.5
2002,6.5
2003,7.5
2004,6.0
2005,5.7
2006,4.5
2007,5.6
2008,6.9
2009,11.1
2010,11.3
2011,10.4
2012,9
2013,9.8
2014,7.3
2015,6.5
