year,all
2000,5.79
2001,4.56
2002,5.08
2003,6.52
2004,5.75
2005,6.32
2006,5.98
2007,5.84
2008,6.51
2009,7.73
2010,7.64
2011,7.95
2012,8.42
2013,9.10
2014,9.05
2015,8.59
