year,all
2016,4.1
2017,3.4
1999,4.4
2000,3.5
2001,4.2
2002,5.3
2003,5.9
2004,5.1
2005,5.3
2006,4.9
2007,4.9
2008,5.9
2009,9.3
2010,9.3
2011,9
2012,8.2
2013,7.2
2014,6.9
2015,4.6
