year,all
2016,6.0
2017,5.1
1999,5.0
2000,5.4
2001,5.3
2002,6.9
2003,6.0
2004,5.6
2005,6.4
2006,6.6
2007,5.8
2008,7.2
2009,11
2010,12.1
2011,11.6
2012,8.5
2013,8.9
2014,7.2
2015,6
