year,all
2000,7.61
2001,6.81
2002,9.67
2003,7.50
2004,7.33
2005,7.02
2006,6.82
2007,6.67
2008,6.72
2009,7.56
2010,7.67
2011,7.97
2012,8.31
2013,9.73
2014,10.01
2015,10.39
