year,all
2016,4.1
2017,3.7
1999,2.3
2000,2.3
2001,3.4
2002,3.8
2003,4.1
2004,3.8
2005,3.2
2006,2.7
2007,3.3
2008,4.3
2009,7.3
2010,8.2
2011,6.4
2012,5.6
2013,5.6
2014,5
2015,4.6
