year,all
2000,12.47
2001,13.18
2002,12.81
2003,14.45
2004,14.07
2005,13.55
2006,12.67
2007,10.96
2008,11.83
2009,15.19
2010,13.16
2011,13.97
2012,13.45
2013,16.56
2014,14.16
2015,14.18
