year,all
2016,4.9
2017,4.7
1999,5.2
2000,4.6
2001,5.1
2002,6.7
2003,6.5
2004,5.9
2005,5.5
2006,4.8
2007,5.1
2008,6.0
2009,9
2010,9.3
2011,8.4
2012,9.4
2013,8.2
2014,6.8
2015,5.3
