year,all
2000,10.47
2001,8.79
2002,9.10
2003,8.68
2004,9.05
2005,9.05
2006,10.43
2007,9.85
2008,11.00
2009,11.01
2010,10.66
2011,11.84
2012,11.14
2013,11.23
2014,11.41
2015,11.14
