year,all
2016,5.8
2017,5.2
1999,4.5
2000,4.4
2001,5
2002,6.3
2003,6.0
2004,6.3
2005,4.8
2006,4.7
2007,4.8
2008,5.9
2009,8.8
2010,9.5
2011,8.3
2012,7.9
2013,8.1
2014,6.5
2015,5.4
