year,all
2000,0.81
2001,0.83
2002,0.98
2003,0.95
2004,0.99
2005,1.17
2006,1.59
2007,2.07
2008,3.07
2009,3.18
2010,3.86
2011,4.30
2012,4.34
2013,4.35
2014,4.76
2015,5.05
